country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Puerto Rico,686,521,473,452,418,338,363,303,275,314,159,241,,256,274,262,222,257,201,200,174,121,129,115,123,113,112,98
North Korea,,,,,,,,,0,,,,,,,,,11.1k,1150,12.3k,34.1k,29.3k,40.2k,41.8k,44.6k,42.7k,44.6k,58.8k
Portugal,6870,7250,7310,7050,6910,6890,6620,7100,6360,6660,6210,5980,5930,5450,5620,5580,5250,5110,5260,4600,4230,4320,4380,3860,3600,3300,3220,2950
Paraguay,1350,1390,1420,1800,1720,1930,1630,1500,1440,2270,2170,2280,1930,2040,1850,1750,2070,1950,1830,2120,1950,2070,2110,2180,2300,2080,2450,2270
Palestine,191,139,136,136,123,113,63,82,85,145,64,89,97,,,77,40,,18,,82,67,,36,23,28,42,33
French Polynesia,76,66,65,78,80,78,85,80,63,73,59,49,83,78,89,,86,91,105,93,62,62,64,50,60,63,69,64
Qatar,257,213,172,206,203,250,220,248,223,191,184,195,,200,,304,257,212,253,259,279,284,278,276,272,325,339,399
Romania,13.6k,13.6k,13.6k,13.6k,12.9k,12.7k,12.9k,13.4k,14.1k,14.7k,16.3k,15.5k,18.1k,20.4k,21.4k,23.3k,24.2k,23.9k,25.8k,26.1k,27.5k,28.6k,29.8k,28.3k,28.6k,26.1k,24.3k,22.6k
Russia,74.3k,73.4k,72.2k,73.3k,74.6k,64.6k,71.8k,70.1k,67.5k,63k,50.6k,50.4k,53.1k,63.6k,70.8k,85k,111k,119k,111k,134k,141k,133k,129k,124k,121k,128k,125k,127k
Rwanda,1500,1390,,1360,1420,1330,2460,3290,4150,4740,6390,3200,,,,3050,3540,4710,6110,6480,6090,5470,6010,6810,6490,7220,8120,7640
Saudi Arabia,11k,8260,8530,7550,7160,3970,3700,3030,2430,2580,2420,2220,2020,2390,2520,,,3140,3240,3510,3450,3330,3370,3320,3310,3540,3770,3960
Sudan,33k,47.4k,,,,1510,2460,800,693,701,212,16.4k,19.5k,37.5k,23.2k,14.3k,20.2k,20.9k,22.3k,26.9k,24.8k,24k,24.6k,25.1k,26.6k,27.6k,28.9k,29.3k
Senegal,2010,2570,1610,2420,,1070,927,6150,5610,5970,4980,6780,7410,6840,6910,7560,8530,8320,8480,7490,8510,8550,8370,9380,9100,9770,10.1k,10.3k
Singapore,2710,2430,2180,2070,2140,1950,1760,1620,1670,1620,1590,1840,1780,1830,1680,1890,1950,1980,2120,1810,1730,1540,1520,1580,1410,1360,1310,1360
Solomon Islands,266,313,324,302,337,377,292,334,372,488,382,309,364,367,332,352,299,318,295,289,302,292,256,293,340,397,371,397
Sierra Leone,750,847,889,293,816,865,358,130,120,,632,1470,1670,2690,2560,1960,3240,3160,3270,,3760,4670,4790,5290,5710,6740,8040,9420
El Salvador,2260,2090,2170,2050,1560,1460,1660,1650,2380,617,2370,2300,2500,3350,3900,2420,1690,1660,1700,1620,1490,1460,1550,1380,1410,1790,1640,1670
San Marino,,,,,,,,,,,1,1,,3,2,2,0,1,0,0,1,0,1,1,0,,,
Somalia,,,,2840,2720,2720,3080,7320,2730,1320,,,,,2020,2500,3920,4450,4320,4800,5690,6850,7390,9280,11.8k,12.9k,11.9k,11.1k
Sao Tome and Principe,131,37,40,59,49,40,8,55,13,,17,120,,97,41,,,,106,96,97,97,94,457,121,136,153,93
Suriname,78,81,56,78,76,50,60,77,77,70,82,47,58,45,53,,53,76,85,95,89,75,97,95,97,117,127,
Slovak Republic,2470,2300,2260,2250,2150,1990,2020,1830,1650,1500,1450,1620,1730,1800,1760,1540,1500,1300,1280,1100,1010,986,975,904,664,710,673,622
Slovenia,1090,939,982,925,896,923,816,792,760,768,722,583,640,646,526,525,563,481,449,423,368,359,338,275,249,269,207,212
Sweden,926,875,784,832,754,702,640,545,536,595,557,521,610,616,537,564,497,456,446,479,417,394,375,386,416,539,489,460
Eswatini,,143,3060,1960,,,,1100,1350,1390,,1530,,1460,,2050,2360,3020,3650,4170,5880,6120,6750,7750,8070,8060,8280,8890
Seychelles,16,0,16,16,10,10,24,14,10,6,41,,,5,,8,15,18,11,21,20,19,29,10,18,14,,
Syria,1690,1910,1840,1870,2110,2160,3940,4290,4950,5500,6020,5650,5440,,5130,4400,5200,4970,5420,5450,5090,5000,4770,4820,4590,4310,3930,4090
Turks and Caicos Islands,2,0,2,5,0,4,2,12,,,0,0,0,0,,,,,,17,,3,3,6,,,7,
Chad,220,286,127,1980,1430,1490,1290,1090,2980,2570,2590,2910,2680,2870,3300,3190,1940,2180,2780,4710,,,5080,4680,4950,6310,,5880
Togo,208,126,204,174,343,745,596,1180,1070,940,1320,1240,1220,1010,1140,1520,1650,1620,1250,1250,1410,,1650,1820,2210,2540,2820,2440
Thailand,45.7k,49.5k,48.5k,65.4k,69.2k,77.6k,52.1k,51.8k,50k,44.5k,46.5k,43.9k,47.7k,49.7k,47.8k,45.4k,39.9k,30.3k,15.8k,29.4k,34.2k,49.7k,49.6k,54.5k,55.3k,57.9k,56.2k,54.8k
Tajikistan,2650,2630,2630,2510,2430,2490,2610,2730,2470,2620,2460,2120,1670,652,892,2030,1650,2140,2450,2550,2780,3510,4050,4260,4530,5460,5360,6300
Tokelau,0,1,0,0,0,2,0,9,1,0,1,1,1,,0,2,0,,,0,0,0,,0,,0,0,0
Turkmenistan,1680,1630,1560,1540,1600,1610,1610,1960,1900,2170,2330,2360,2070,2750,,1940,2070,3440,3840,4090,4040,3950,3670,3770,3380,3190,3220,3430
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,2760,2760,3720,3770,3590,3260
Tonga,64,49,45,50,54,49,35,24,14,36,23,20,29,33,23,20,22,21,30,22,24,12,29,16,12,18,18,23
Trinidad and Tobago,80,82,62,112,108,112,119,122,108,124,120,141,142,112,129,166,204,260,199,159,198,206,133,147,178,166,232,218
Tunisia,2500,2320,2550,3060,2500,2510,2490,2270,2310,2400,2050,2060,2160,2570,2380,2380,2390,,2210,2160,2040,1950,1890,1970,1990,2080,2130,2280
Turkey,36.7k,40k,26.5k,28.6k,27.6k,31k,31k,30.5k,27.9k,26.7k,24.5k,25.2k,25.5k,,,23k,20.2k,25.7k,25.5k,22.1k,18k,17.3k,18k,17.9k,17.5k,19.7k,19.6k,18.9k
Tuvalu,33,18,12,23,9,32,27,22,24,26,23,30,30,28,19,36,,,18,14,16,16,13,30,,12,9,18
Tanzania,11.5k,12.1k,11.8k,11.8k,12.1k,13.7k,15.4k,16.9k,18.2k,19.3k,22.3k,25.2k,28.5k,31.5k,34.8k,39.9k,44.4k,46.4k,51.2k,52.4k,54.4k,61.6k,60.3k,61.6k,62.5k,61k,59.3k,59.4k
Uganda,1060,1170,497,2030,,,1390,1460,3070,1050,14.7k,19k,20.7k,21.6k,27k,25.3k,27.2k,28.4k,29.2k,31.6k,30.4k,36.8k,40.7k,41.8k,43.7k,41k,40.8k,40.9k
Ukraine,26.1k,25.6k,24.7k,24.2k,24.4k,24.1k,22.9k,22.1k,20.7k,20.2k,16.5k,16.7k,18.1k,20k,20.6k,21.5k,23.4k,28.3k,27.8k,32.9k,32.9k,36.8k,40.2k,37k,38.4k,39.6k,41.3k,37.5k
Uruguay,1870,1700,1450,1360,1390,1200,1080,1020,951,987,886,759,699,689,666,625,701,708,668,627,645,689,536,643,727,622,557,607
USA,27.8k,27.4k,25.5k,23.9k,22.3k,22.2k,22.8k,22.5k,22.4k,23.5k,25.7k,26.3k,26.7k,25.1k,24.2k,22.7k,21.2k,19.8k,18.3k,17.5k,16.3k,15.9k,15.1k,14.8k,14.5k,14.1k,13.8k,13.3k
Uzbekistan,9160,9680,8700,8820,8540,8720,9430,9790,10.1k,10.6k,9410,,9370,9770,14.9k,9870,11.9k,13.3k,14.6k,15.1k,15.8k,17.4k,20.6k,20.7k,20.3k,21.5k,23.9k,19.8k
St. Vincent and the Grenadines,78,11,14,4,23,14,9,3,6,3,2,1,4,13,0,13,6,6,8,9,16,10,10,14,8,7,13,12
Venezuela,4230,4090,4160,4270,4740,4820,4970,4950,4560,4520,5460,5220,5440,5170,4880,5580,5650,5980,6270,6600,6470,6250,6200,6730,6810,6850,6710,6460
British Virgin Islands,,,,,,,,,,,,,,,,,,3,,,1,1,1,1,2,0,,0
Virgin Islands (U.S.),0,1,1,2,3,1,1,2,6,4,4,4,,,10,4,8,,,,,,,,,,,
Vietnam,43.1k,43.5k,51.2k,43.2k,43.9k,46.9k,47.6k,55.5k,52.5k,52.3k,50.2k,59.8k,56.6k,53k,51.8k,55.7k,74.7k,77.8k,87.5k,88.9k,89.8k,90.7k,95k,92.7k,98.2k,94.9k,97.4k,97.4k
Vanuatu,178,92,173,196,188,124,131,90,118,144,140,230,193,114,152,79,126,184,178,120,152,175,101,104,115,76,126,122
Wallis et Futuna,23,24,5,17,14,14,,34,1,30,,22,4,11,11,6,8,14,,,,1,19,15,,7,,2
Samoa,59,49,43,41,37,43,65,29,29,37,44,44,26,49,45,45,31,32,22,31,43,22,31,27,34,24,25,
Yemen,,,,,,,,,3450,4910,4650,6840,10.1k,11.1k,11.5k,14.4k,14.4k,12k,12.4k,13.1k,13.7k,13k,11.7k,10.4k,10k,9060,8470,8430
South Africa,55.3k,59.9k,64.1k,62.6k,62.7k,59.4k,55k,57.4k,61.5k,68.1k,80.4k,77.7k,82.5k,89.8k,90.3k,73.9k,109k,126k,142k,148k,151k,148k,215k,227k,267k,270k,303k,315k
Zambia,5320,6160,6530,6860,7270,8250,8720,10k,12.9k,14.3k,16.9k,23.4k,25.4k,30.5k,35.2k,36k,40.4k,,,45.2k,49.8k,46.3k,54.2k,53.9k,54.1k,49.6k,47.8k,46.3k
Zimbabwe,4060,4050,4580,3880,5690,4760,5230,5850,6000,6820,9130,11.7k,16.2k,20.1k,24k,30.8k,35.7k,43.8k,47.1k,50.1k,50.9k,56.2k,59.2k,53.2k,56.2k,50.5k,44.3k,40.3k
