country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Cote d'Ivoire,4200,4420,5000,6000,6060,5730,6070,6420,6560,6980,7840,8020,9090,9560,14k,12k,13.1k,13.8k,14.8k,15.1k,12.9k,16.5k,16.1k,17.7k,20.1k,19.7k,20.8k,23k
Cameroon,2430,2240,3770,3450,3340,3390,2140,3880,4980,5520,5890,6810,6800,7060,7310,3290,3050,3950,5020,7660,5250,11.3k,11.1k,16k,17.7k,21.5k,23.5k,24.1k
"Congo, Dem. Rep.",5120,3050,9910,13k,20.4k,26.1k,27.7k,27.1k,30.3k,31.3k,21.1k,33.8k,37.7k,36.6k,38.5k,42.8k,46k,44.8k,58.9k,59.5k,60.6k,66.8k,70.6k,84.7k,93.3k,97.1k,95.7k,99.8k
"Congo, Rep.",742,1210,3720,4160,2780,2650,3120,3470,3880,4360,591,618,1180,1980,2990,3620,4470,3420,3860,5020,9240,9740,9890,7780,9730,9850,8480,9000
Cook Is,37,10,19,29,20,36,17,16,20,1,0,1,6,5,4,2,1,2,0,3,1,2,1,0,1,1,1,
Colombia,11.6k,11.5k,12.1k,13.7k,12.8k,12k,11.6k,11.4k,11.5k,11.3k,12.4k,12.3k,11.2k,11k,8900,9910,9700,8040,9160,11k,11.6k,11.5k,11.4k,11.6k,11.2k,10.4k,11.1k,10.9k
Comoros,,,,,,,,,212,139,140,119,108,129,115,123,138,134,132,153,120,138,111,73,89,111,112,
Cape Verde,516,344,393,230,285,259,,285,276,210,221,,,,,303,179,196,205,,,291,195,316,294,292,262,274
Costa Rica,396,521,459,479,393,376,418,434,442,311,230,201,118,313,325,586,636,692,730,851,585,630,543,527,712,534,488,550
Cuba,1130,833,815,762,705,680,656,630,628,581,546,514,410,790,1680,1550,1470,1350,1230,1140,1180,926,898,840,784,770,765,762
Cayman Islands,0,2,0,1,1,4,1,0,0,2,2,3,3,2,,2,0,0,3,2,5,1,0,0,1,,0,1
Cyprus,69,69,86,73,39,61,48,35,39,23,29,43,39,37,37,36,24,47,45,39,33,40,20,35,30,34,36,41
Czech Republic,4960,4310,4150,4020,3650,3120,2550,2200,2050,1910,1940,2080,1990,1860,1960,1830,1970,1830,1810,1610,1410,1290,1160,1100,1030,973,941,790
Germany,30k,27.1k,25.4k,23k,20.2k,20.1k,17.9k,17.1k,16.3k,15.4k,14.7k,13.5k,14.1k,14.2k,13k,12.2k,11.8k,11.2k,10.4k,9970,9060,6960,6930,6530,6010,5540,5020,4610
Djibouti,,2270,671,,1490,2260,1860,1980,2030,2040,2100,2900,2880,3490,3310,,3330,3830,3790,4130,3970,4200,3190,3230,2940,3110,3010,3200
Dominica,20,26,18,16,5,8,35,27,7,13,6,14,13,7,12,8,10,6,5,,,,2,,,,19,3
Denmark,430,394,378,348,302,312,299,322,304,328,350,334,359,411,495,448,484,554,529,587,587,494,403,378,356,395,341,355
Dominican Republic,2170,1780,2460,2960,3100,2340,2630,2460,3080,3150,2600,1840,3490,4030,4340,4050,6300,5380,5110,5770,5290,4770,4040,4700,4550,5000,4560,4150
Algeria,2700,,13.9k,13.7k,13.1k,13.8k,12.9k,11.2k,11.3k,11k,11.6k,11.3k,11.4k,13.3k,13.3k,13.5k,15.3k,16.5k,15.3k,16.6k,18.6k,18.3k,18.9k,19.7k,19.8k,21.3k,21.1k,21.4k
Ecuador,3950,3970,3880,3990,4300,4800,5690,5870,5500,5480,8240,6880,7310,7050,9690,7890,8400,9440,7160,5760,6910,6020,5830,6440,6120,4420,4590,4880
Egypt,1640,1310,1810,1930,1570,1310,1210,22.1k,1380,1490,2140,3630,8880,3430,3910,11.1k,12.3k,14k,12.7k,11.8k,10.8k,10.6k,11.2k,11.5k,11.6k,11.4k,10.1k,9840
Eritrea,,,,,,,,,,,3700,,4390,11.7k,15.5k,21.4k,5220,8320,7790,6040,6650,2740,2810,4710,4240,3550,3030,3640
Spain,4850,5550,7960,8990,10.1k,10.8k,13.8k,9470,8500,8060,7600,9010,9700,9440,,8760,8330,9350,8930,8390,7990,6850,7280,7340,6020,7280,7820,7350
Estonia,614,560,563,587,546,541,522,446,471,422,423,406,403,532,623,624,683,744,820,754,791,708,620,557,537,479,422,456
Ethiopia,40.1k,42.4k,52.4k,56.8k,65k,71.7k,80.8k,85.9k,95.5k,80.8k,88.6k,60k,60k,,99.3k,26k,41.9k,59.1k,69.5k,72.1k,91.1k,95k,110k,118k,123k,124k,122k,129k
Finland,2250,2200,2170,1880,1790,1820,1550,1420,1080,970,772,771,700,542,553,661,645,573,629,565,527,460,449,392,319,339,280,300
Fiji,210,180,163,185,165,230,199,173,162,218,226,247,240,183,225,203,200,171,166,192,144,183,148,185,134,132,114,94
France,17.2k,16.5k,15.4k,13.8k,12.3k,11.3k,10.5k,10.2k,9190,9030,9030,8510,8610,9550,9090,8720,7660,6830,5980,6050,6120,5810,5710,5740,5000,4890,4820,5310
"Micronesia, Fed. Sts.",,,67,73,75,66,60,98,77,68,367,350,111,151,173,172,126,107,123,,91,104,127,99,118,98,104,137
Gabon,865,796,761,752,654,855,769,864,721,912,917,906,926,972,1030,1120,951,1430,1380,1600,,2500,2090,2210,2590,2510,3050,3770
UK,10.5k,9290,8440,7810,7030,6670,6840,5730,5790,6060,5910,6090,6410,6480,6200,6180,6240,6360,6180,6180,6220,6030,6890,6400,7040,8170,8160,7850
Georgia,2100,2120,2170,1880,1860,1820,1830,1810,1600,1610,1540,,2130,3740,,1630,3520,8450,6300,4790,4400,4010,4490,4210,4010,4500,4550,4310
Ghana,5210,4040,4350,2650,1940,3240,3930,5880,5300,6020,6410,7140,7040,8570,17k,8640,10.4k,10.8k,11.3k,10.4k,10.9k,11.9k,11.7k,11.9k,11.8k,12.1k,12.5k,12.7k
Guinea,,1880,1470,832,1200,1320,1130,1210,1740,1870,1990,2270,2940,3170,3300,3520,4360,4440,4770,5170,5440,5870,6200,6570,7420,6860,8790,9410
Gambia,239,58,,,,,,,,,,,,,,1020,1240,1360,1560,1510,,,1860,1950,2140,2030,1800,1920
